,"ja","en"
"name","バナー","Banner"
"fields.href:label","リンク","Link"
"fields.target:label","リンク先の表示方法","Target window"
"fields.target:options.0.label","デフォルト","Defaut"
"fields.target:options.1.label","新規ウィンドウ (_blank)","New window (_blank)"
"fields.image_src:label","バナー画像","Banner image"
"fields.alt_text:label","代替テキスト","Alternate text"
"fields.caption:label","キャプション","Caption"
"fields.paragraph:label","前後の自然なマージン","Margin"
"fields.paragraph:options.0.label","なし","None"
"fields.paragraph:options.1.label","前後の自然なマージン","Natural Margin"
"fields.width:label","画像の幅","Image width"
"fields.width:options.0.label","画像のサイズに従う","Auto"
"fields.width:options.1.label","親要素の幅いっぱいに拡がる","Full width"
"fields.width:options.2.label","3/4幅","3/4"
"fields.width:options.3.label","2/3幅","2/3"
"fields.width:options.4.label","1/2幅","1/2"
"fields.width:options.5.label","180px","180px"
"fields.width:options.6.label","320px","320px"
"fields.width:options.7.label","640px","640px"
"fields.align:label","揃え位置","Image alignment"
"fields.align:options.0.label","指定しない (親要素の組み方に従う)","Inherit"
"fields.align:options.1.label","左揃え","Left"
"fields.align:options.2.label","中央揃え","Center"
"fields.align:options.3.label","右揃え","Right"
